url,category,comment,hate_towards_whom,label
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,That is like comparing a Ferrari to a garbage truck. Atleast the garbage truck serves a purpose,Individual (Melenia Trump / Michelle Obama),yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,it's like comparing a ferrari to a garbage truck,Individual (Melenia Trump / Michelle Obama),yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,if you compare a ferrari to a garbage truck then at least the garbage truck serves a purpose,Individual (Melenia Trump / Michelle Obama),yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,Wrong it's a man,Individual (Melenia Trump),yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,Wrong it's a man,Individual (Melenia Trump),yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,I tell you what we went from a first lady that commands respect. To a third-rate bargain-basement social climber who runs around demanding respect like her insisting everybody call her doctor.,Individual (Jill Biden),yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,we went from a first lady who commands respect to a third-rate bargain-basement social climber who runs around demanding respect like her and insists that everyone call her doc,Individual (Jill Biden),yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,Botox can buy beauty after all,Individual (Melenia Trump),yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,botox can be good for beauty,Individual (Melenia Trump),yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,botox can be good for beauty after all?,Individual (Melenia Trump),yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,"Meanwhile, the Bidens be like ""Better get my good side"", because it is very lacking",Individual (Biden),yes
https://www.bitchute.com/video/IJ4oWccln20/,news & politics,"Meanwhile, the Bidens be like ""Better get my good side"", because it is very lacking",Individual (Biden),yes
https://www.bitchute.com/video/9ZQGr4vmKjo/,news & politics,Not a hint of testosterone detected in this one.,Individual (Manny Mua),yes
https://www.bitchute.com/video/9ZQGr4vmKjo/,news & politics,there's not a hint of testosterone in this,Individual (Manny Mua),yes
https://www.bitchute.com/video/9ZQGr4vmKjo/,news & politics,there's not a hint of testosterone in this case,Individual (Manny Mua),yes
https://www.bitchute.com/video/9ZQGr4vmKjo/,news & politics,there's no hint of testosterone in this one,Individual (Manny Mua),yes
https://www.bitchute.com/video/9ZQGr4vmKjo/,news & politics,there was no hint of testosterone in this one,Individual (Manny Mua),yes
https://www.bitchute.com/video/9ZQGr4vmKjo/,news & politics,there's not a hint of testosterone in this one,Individual (Manny Mua),yes
https://www.bitchute.com/video/zDqdyO0QwEXE/,cuisine,Do NOT step on the grass... some people eat it...,"Community (Vegans, Vegetarians)",yes
https://www.bitchute.com/video/zDqdyO0QwEXE/,cuisine,avoid walking on grass some people eat it,"Community (Vegans, Vegetarians)",yes
https://www.bitchute.com/video/zDqdyO0QwEXE/,cuisine,do not step on the grass some people eat it,"Community (Vegans, Vegetarians)",yes
https://www.bitchute.com/video/zui6v59rPgWc/,cuisine,"Correct answer: ""a disease"" or ""a delusion"" or a form of self hatred where you starve yourself of VITAL nutrients",Community (Veganism),yes
https://www.bitchute.com/video/zui6v59rPgWc/,cuisine,"Correct answer: ""a disease"" or ""a delusion"" or a form of self hatred where you starve yourself of VITAL nutrients",Community (Veganism),yes
https://www.bitchute.com/video/jyfLYIIje8FS/,news & politics,mainly by women. most teachers are women now.,"Community (Women, Teachers)",yes
https://www.bitchute.com/video/jyfLYIIje8FS/,news & politics,most of the teachers are now women,"Community (Women, Teachers)",yes
https://www.bitchute.com/video/jyfLYIIje8FS/,news & politics,most teachers are now women,"Community (Women, Teachers)",yes
https://www.bitchute.com/video/jyfLYIIje8FS/,news & politics,most of the teachers are women,"Community (Women, Teachers)",yes
https://www.bitchute.com/video/jyfLYIIje8FS/,news & politics,most teachers are women,"Community (Women, Teachers)",yes
https://www.bitchute.com/video/jyfLYIIje8FS/,news & politics,most of the teachers are women now,"Community (Women, Teachers)",yes
https://www.bitchute.com/video/jyfLYIIje8FS/,news & politics,the majority of teachers are women,"Community (Women, Teachers)",yes
https://www.bitchute.com/video/jyfLYIIje8FS/,news & politics,Probably in the northeast or west coast.,Location (US West Coast and Northeast),yes
https://www.bitchute.com/video/jyfLYIIje8FS/,news & politics,probably in the northeast or the western coast,Location (US West Coast and Northeast),yes
https://www.bitchute.com/video/jyfLYIIje8FS/,news & politics,probably on the northeast or the west coast,Location (US West Coast and Northeast),yes
https://www.bitchute.com/video/jyfLYIIje8FS/,news & politics,probably in the northeast or the west coast,Location (US West Coast and Northeast),yes
https://www.bitchute.com/video/jyfLYIIje8FS/,news & politics,probably on the northeast or west coast,Location (US West Coast and Northeast),yes
https://www.bitchute.com/video/jyfLYIIje8FS/,news & politics,probably in the northeast or west coast,Location (US West Coast and Northeast),yes
https://www.bitchute.com/video/jyfLYIIje8FS/,news & politics,"The mental hospitals were cleared out under a Bush, so half are on the streets homeless, the other half teach our children.",Community (Teachers),yes
https://www.bitchute.com/video/jyfLYIIje8FS/,news & politics,"The mental hospitals were cleared out under a Bush, so half are on the streets homeless, the other half teach our children.",Community (Teachers),yes
https://www.bitchute.com/video/jyfLYIIje8FS/,news & politics,White children should not attend public schools. It's been bad for a long time but now it's getting incredibly dangerous.,Community (Blacks),yes
https://www.bitchute.com/video/jyfLYIIje8FS/,news & politics,white children shouldn't go to public schools it's been bad for a long time but now it's incredibly dangerous,Community (Blacks),yes
https://www.bitchute.com/video/jyfLYIIje8FS/,news & politics,white children shouldn't attend public schools it's been bad for a long time but now it's incredibly dangerous,Community (Blacks),yes
https://www.bitchute.com/video/jyfLYIIje8FS/,news & politics,She has Brain A.I.D.S.,"Individual, Community (People With Brain Disorder)",yes
https://www.bitchute.com/video/2XXGIFJmsPH7/,sports,That's a man for sure LOL!!,Individual (Angelina Dimova),yes
https://www.bitchute.com/video/2XXGIFJmsPH7/,sports,obviously it's a man,Individual (Angelina Dimova),yes
https://www.bitchute.com/video/2XXGIFJmsPH7/,sports,Not very many women in women's tennis.,Community (Women),yes
https://www.bitchute.com/video/U4vIGCkrMnXa/,news & politics,Welcome to commie Kanada!,Community (Canadian Police),yes
https://www.bitchute.com/video/U4vIGCkrMnXa/,news & politics,welcome to the commie in kanada,Community (Canadian Police),yes
https://www.bitchute.com/video/U4vIGCkrMnXa/,news & politics,welcome to the commie of kanada,Community (Canadian Police),yes
https://www.bitchute.com/video/U4vIGCkrMnXa/,news & politics,hello commie kanada,Community (Canadian Police),yes
https://www.bitchute.com/video/U4vIGCkrMnXa/,news & politics,welcome to the commie kanada,Community (Canadian Police),yes
https://www.bitchute.com/video/U4vIGCkrMnXa/,news & politics,welcome to commie kanada,Community (Canadian Police),yes
https://www.bitchute.com/video/GLWib2Ae8PCx/,cuisine,And you are a vegetable.,"Individual, Community (Women)",yes
https://www.bitchute.com/video/GLWib2Ae8PCx/,cuisine,A Biden voter in a nutshell .,"Individual (Biden), Community (All people who vote for Biden)",yes
https://www.bitchute.com/video/GLWib2Ae8PCx/,cuisine,biden voters in a nutshell,"Individual (Biden), Community (All people who vote for Biden)",yes
https://www.bitchute.com/video/GLWib2Ae8PCx/,cuisine,a biden voter in a nutshell,"Individual (Biden), Community (All people who vote for Biden)",yes
https://www.bitchute.com/video/riMRzNLbbLH0/,cuisine,Its de-popp food,Organisation (McDonalds),yes
https://www.bitchute.com/video/riMRzNLbbLH0/,cuisine,Its de-popp food,Organisation (McDonalds),yes
https://www.bitchute.com/video/riMRzNLbbLH0/,cuisine,Dog smarter than human confirmed.,"Community (McDonald Customers), Organisation (McDonalds)",yes
https://www.bitchute.com/video/riMRzNLbbLH0/,cuisine,Dog smarter than human confirmed.,"Community (McDonald Customers), Organisation (McDonalds)",yes
https://www.bitchute.com/video/riMRzNLbbLH0/,cuisine,"That's ONE SMART DOG,, smarter than 85% of the Population...","Community (McDonald Customers), Organisation (McDonalds)",yes
https://www.bitchute.com/video/riMRzNLbbLH0/,cuisine,the dog is smarter than 85 people,"Community (McDonald Customers), Organisation (McDonalds)",yes
https://www.bitchute.com/video/riMRzNLbbLH0/,cuisine,"Hmm, I'm pretty fluent in Rabbit. My doggo is a little rusty but I could swear the doggy does not actually think that is food, even if he was starving.",Organisation (McDonalds),yes
https://www.bitchute.com/video/riMRzNLbbLH0/,cuisine,"Hmm, I'm pretty fluent in Rabbit. My doggo is a little rusty but I could swear the doggy does not actually think that is food, even if he was starving.",Organisation (McDonalds),yes
https://www.bitchute.com/video/HCIYXD0svbP6/,news & politics,Is that a Freemason pin on that gorillas lapel?,Individual (Cori Bush),yes
https://www.bitchute.com/video/HCIYXD0svbP6/,news & politics,is there a freemason pin on the gorilla's lapel?,Individual (Cori Bush),yes
https://www.bitchute.com/video/HCIYXD0svbP6/,news & politics,is that a freemason pin on the gorilla's lapel?,Individual (Cori Bush),yes
https://www.bitchute.com/video/HCIYXD0svbP6/,news & politics,"In a just world, she'd be giving her speech from a mud n straw hut.","Individual, Community (Blacks, Women)",yes
https://www.bitchute.com/video/HCIYXD0svbP6/,news & politics,"In a just world, she'd be giving her speech from a mud n straw hut.","Individual, Community (Blacks, Women)",yes
https://www.bitchute.com/video/HCIYXD0svbP6/,news & politics,Goes to show any creature can be elected,Individual (Cori Bush),yes
https://www.bitchute.com/video/HCIYXD0svbP6/,news & politics,Goes to show any creature can be elected,Individual (Cori Bush),yes
https://www.bitchute.com/video/HCIYXD0svbP6/,news & politics,I see very little difference between this and the previous gorilla trying to read numbers.,"Community (Blacks, Women), Individual (Cori Bush)",yes
https://www.bitchute.com/video/HCIYXD0svbP6/,news & politics,i don't see much difference between this and the previous gorilla trying to read numbers,"Community (Blacks, Women), Individual (Cori Bush)",yes
https://www.bitchute.com/video/HCIYXD0svbP6/,news & politics,i see little difference between this and the previous gorilla trying to read numbers,"Community (Blacks, Women), Individual (Cori Bush)",yes
https://www.bitchute.com/video/HCIYXD0svbP6/,news & politics,i can see very little difference between this and the previous gorilla trying to read the numbers,"Community (Blacks, Women), Individual (Cori Bush)",yes
https://www.bitchute.com/video/HCIYXD0svbP6/,news & politics,i see very little difference between this and the previous gorilla trying to read numbers,"Community (Blacks, Women), Individual (Cori Bush)",yes
https://www.bitchute.com/video/HCIYXD0svbP6/,news & politics,i can see very little difference between this and the previous gorilla trying to read numbers,"Community (Blacks, Women), Individual (Cori Bush)",yes
https://www.bitchute.com/video/FutRijzWnQme/,entertainment,That is NOT a woman.,Individual,yes
https://www.bitchute.com/video/FutRijzWnQme/,entertainment,That is NOT a woman.,Individual,yes
https://www.bitchute.com/video/FutRijzWnQme/,entertainment,this is what happens when you do crack. she's only 27 years old,Individual,yes
https://www.bitchute.com/video/FutRijzWnQme/,entertainment,she's only 27 years old,Individual,yes
https://www.bitchute.com/video/FutRijzWnQme/,entertainment,it happens when you crack,Individual,yes
https://www.bitchute.com/video/FutRijzWnQme/,entertainment,it's what happens when you crack,Individual,yes
https://www.bitchute.com/video/FutRijzWnQme/,entertainment,That is a trans man. BAM!,"Individual, Community (Transgender)",yes
https://www.bitchute.com/video/FutRijzWnQme/,entertainment,the trans man is here,"Individual, Community (Transgender)",yes
https://www.bitchute.com/video/FutRijzWnQme/,entertainment,this is a trans man,"Individual, Community (Transgender)",yes
https://www.bitchute.com/video/rIg1fdRfCPoA/,news & politics,Some people are born to be janitors,Community (Blacks),yes
https://www.bitchute.com/video/rIg1fdRfCPoA/,news & politics,some people are born janitors,Community (Blacks),yes
https://www.bitchute.com/video/rIg1fdRfCPoA/,news & politics,some people are born to be cleaners,Community (Blacks),yes
https://www.bitchute.com/video/rIg1fdRfCPoA/,news & politics,some people are born as janitors,Community (Blacks),yes
https://www.bitchute.com/video/rIg1fdRfCPoA/,news & politics,some people were born to be janitors,Community (Blacks),yes
https://www.bitchute.com/video/rIg1fdRfCPoA/,news & politics,some people are born to be janitors,Community (Blacks),yes
https://www.bitchute.com/video/rIg1fdRfCPoA/,news & politics,But he’s still smarter than Biden.,Individual (Biden),yes
https://www.bitchute.com/video/rIg1fdRfCPoA/,news & politics,still smarter than joe biden,Individual (Biden),yes
https://www.bitchute.com/video/rIg1fdRfCPoA/,news & politics,he's smarter than biden,Individual (Biden),yes
https://www.bitchute.com/video/rIg1fdRfCPoA/,news & politics,he's still smarter than biden,Individual (Biden),yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,why doesn’t he just become a woman?,Individual,yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,why didn't he become a woman?,Individual,yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,why can't he just become a woman?,Individual,yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,why didn't he just become a woman?,Individual,yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,and why didn't he just become a woman?,Individual,yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,why doesn't he just become a woman?,Individual,yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,but why doesn't he just become a woman?,Individual,yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,Well the definition of BIGOT hasn't been updated yet so put his picture in there!,Individual,yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,Well the definition of BIGOT hasn't been updated yet so put his picture in there!,Individual,yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,Who shrunk his head? It's to small for those shoulders.,Individual,yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,who's shrunk his head?,Individual,yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,who shrunk his head?,Individual,yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,who has shrunk his head?,Individual,yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,is it too small for those shoulders?,Individual,yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,the head is too small for the shoulders,Individual,yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,the head is too small for these shoulders,Individual,yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,the head is too small for those shoulders,Individual,yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,Strange things happen in California,"Community (Californian people), Location (California)",yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,strange things occur in california,"Community (Californian people), Location (California)",yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,strange things happen in california -,"Community (Californian people), Location (California)",yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,strange things happen in california,"Community (Californian people), Location (California)",yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,You would know.,Individual,yes
https://www.bitchute.com/video/sTb0qLlIhMPM/,entertainment,you'd be aware,Individual,yes
https://www.bitchute.com/video/CBfFtJ04hk77/,news & politics,Does anyone remember bin ladens real name since he was a CIA operative?,Organisation (US Government),yes
https://www.bitchute.com/video/CBfFtJ04hk77/,news & politics,what is bin ladens real name?,Organisation (US Government),yes
https://www.bitchute.com/video/CBfFtJ04hk77/,news & politics,does anyone remember bin laden's real name?,Organisation (US Government),yes
https://www.bitchute.com/video/CBfFtJ04hk77/,news & politics,does anyone remember bin ladens real name?,Organisation (US Government),yes
https://www.bitchute.com/video/CBfFtJ04hk77/,news & politics,The reason was to install an IMF central bank just like all the other wars in the mid east and Sudan.,Organisation (US Government),yes
https://www.bitchute.com/video/CBfFtJ04hk77/,news & politics,just like all wars in the mid east and sudan the reason was to install an imf central bank ,Organisation (US Government),yes
https://www.bitchute.com/video/CBfFtJ04hk77/,news & politics,just like all other wars in the mid east and sudan the reason was to install an imf central bank,Organisation (US Government),yes
https://www.bitchute.com/video/CBfFtJ04hk77/,news & politics,just like all wars in the mid east and sudan the reason was to install an imf central bank,Organisation (US Government),yes
https://www.bitchute.com/video/CBfFtJ04hk77/,news & politics,just like all wars in the mid east and sudan the reason was to create an imf central bank,Organisation (US Government),yes
https://www.bitchute.com/video/CBfFtJ04hk77/,news & politics,just like all other wars in the mid east and sudan there was an imf central bank,Organisation (US Government),yes
https://www.bitchute.com/video/CBfFtJ04hk77/,news & politics,the reason was to install an imf central bank just like all other wars in the mid east and in sudan,Organisation (US Government),yes
https://www.bitchute.com/video/CBfFtJ04hk77/,news & politics,the reason was to install an imf central bank like all the other wars in the mid east and sudan,Organisation (US Government),yes
https://www.bitchute.com/video/CBfFtJ04hk77/,news & politics,the reason was to install an imf central bank just like all other wars in the mid east and sudan,Organisation (US Government),yes
https://www.bitchute.com/video/CBfFtJ04hk77/,news & politics,the reason was to install an imf central bank just like all the other wars in the mid east and sudan,Organisation (US Government),yes
https://www.bitchute.com/video/mHS38p2cQYqs/,news & politics,And somehow they want you to think they're not monsters.,Community (Pro Vaccinators),yes
https://www.bitchute.com/video/mHS38p2cQYqs/,news & politics,it's like they want you to believe they're not monsters,Community (Pro Vaccinators),yes
https://www.bitchute.com/video/mHS38p2cQYqs/,news & politics,and somehow they want you to believe that they're not monsters,Community (Pro Vaccinators),yes
https://www.bitchute.com/video/mHS38p2cQYqs/,news & politics,it's like they want you to think they're not monsters,Community (Pro Vaccinators),yes
https://www.bitchute.com/video/mHS38p2cQYqs/,news & politics,and somehow they want you to believe they're not monsters,Community (Pro Vaccinators),yes
https://www.bitchute.com/video/RuXeUE36hZJH/,entertainment,he must of gotten fired from the call center.,Community (Indians),yes
https://www.bitchute.com/video/RuXeUE36hZJH/,entertainment,he must have been fired,Community (Indians),yes
https://www.bitchute.com/video/RuXeUE36hZJH/,entertainment,he must have been fired from the call centre,Community (Indians),yes
https://www.bitchute.com/video/RuXeUE36hZJH/,entertainment,he must be fired from the call center,Community (Indians),yes
https://www.bitchute.com/video/RuXeUE36hZJH/,entertainment,he must have been fired from the call center,Community (Indians),yes
https://www.bitchute.com/video/RuXeUE36hZJH/,entertainment,he must have gotten fired from the call centre,Community (Indians),yes
https://www.bitchute.com/video/RuXeUE36hZJH/,entertainment,he must have gotten fired from the call center,Community (Indians),yes
https://www.bitchute.com/video/RuXeUE36hZJH/,entertainment,I'm sure this bozo was just on the other end of my phone call.,Community (Indians),yes
https://www.bitchute.com/video/RuXeUE36hZJH/,entertainment,that bozo was probably on the other end of my phone,Community (Indians),yes
https://www.bitchute.com/video/RuXeUE36hZJH/,entertainment,that bozo was probably on the other end of my phone call,Community (Indians),yes
https://www.bitchute.com/video/RuXeUE36hZJH/,entertainment,i'm sure this bozo was on the other end of my phone,Community (Indians),yes
https://www.bitchute.com/video/RuXeUE36hZJH/,entertainment,i'm sure this guy was on the other end of my phone call,Community (Indians),yes
https://www.bitchute.com/video/RuXeUE36hZJH/,entertainment,I believe the correct term is Curry Man.,Community (Indians),yes
https://www.bitchute.com/video/RuXeUE36hZJH/,entertainment,i think the correct word is curry man,Community (Indians),yes
https://www.bitchute.com/video/RuXeUE36hZJH/,entertainment,i think the correct term is curry man,Community (Indians),yes
https://www.bitchute.com/video/RuXeUE36hZJH/,entertainment,what i think is the correct term is curry man,Community (Indians),yes
https://www.bitchute.com/video/RuXeUE36hZJH/,entertainment,i believe the correct word is curry man,Community (Indians),yes
https://www.bitchute.com/video/RuXeUE36hZJH/,entertainment,i believe the correct term is curry man,Community (Indians),yes
https://www.bitchute.com/video/GUpoV4hO5hBs/,news & politics,They couldn't afford to run more than one test. So they just used multiple angles lol,Location (Iran),yes
https://www.bitchute.com/video/GUpoV4hO5hBs/,news & politics,they couldn't afford to run more than one test so they just used multiple angles,Location (Iran),yes
https://www.bitchute.com/video/N66vtNXioZU/,news & politics,EU is the USSR for Europe.,"Location (Germany, Russia)",yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,She’s looking in the wrong direction. Floyd is not up there. Maybe look down next time she prays to a demon.,"Individual (George Floyd), Community (Blacks)",yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,Worship those who cannot learn. Celebrate those who cannot think. Release the aggressive psychopathic murderers. Tax the productive and pay the animals. There's a winning strategy!!!,Community (Blacks),yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,it's a winning strategy,Community (Blacks),yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,Give her and an axe to the drug cartels and see what they do with her.,Individual (Nancy pelosi),yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,Give her and an axe to the drug cartels and see what they do with her.,Individual (Nancy pelosi),yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,"He possibly did sacrifice his life for THEIR cause. At best, OD on purpose and the rest was staged and scripted. Still not convinced he's dead. But if he is, ALL planned. Just my opinion.",Individual (George Floyd),yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,"He possibly did sacrifice his life for THEIR cause. At best, OD on purpose and the rest was staged and scripted. Still not convinced he's dead. But if he is, ALL planned. Just my opinion.",Individual (George Floyd),yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,it was a satanic sacrifice and nancy is now staying at the HOETELL California !,Individual (Nancy pelosi),yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,it was a satanic sacrifice and nancy is now staying at the HOETELL California !,Individual (Nancy pelosi),yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,"Why are all the left's hero's felons, addicts or pedos?",Community (Blacks),yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,"Why are all the left's hero's felons, addicts or pedos?",Community (Blacks),yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,"Wth is she doing referring to the person who gave birth to George by the female label of ""mother?""",Individual (George Floyd),yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,does she refer to the person who gave birth to george?,Individual (George Floyd),yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,is she referring to the person who gave birth to george?,Individual (George Floyd),yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,does she refer to the person who gave birth to george by the name of mother?,Individual (George Floyd),yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,does she refer to the person who gave birth to george by the female name of mother?,Individual (George Floyd),yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,does she refer to the person who gave birth to george by the female label of mother?,Individual (George Floyd),yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,why does she refer to the person who gave birth to george by the female label of mother?,Individual (George Floyd),yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,There's nothing new about satanism. Tell 'em Bill!,Community (Blacks),yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,tell 'em bill,Community (Blacks),yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,skeletor pelosi is about 100 years old..she will soon follow count dracula prince philip,"Individual (Nancy pelosi), England's Royal king)",yes
https://www.bitchute.com/video/GGrW57mMcUjc/,news & politics,she will soon follow count dracula prince philip pelosi,"Individual (Nancy pelosi), England's Royal king)",yes
https://www.bitchute.com/video/KBRXlifgTU0A/,news & politics,Just paint yourself black and throw bricks through windows then its ok to go outside and do whatever you want.,Community (Blacks),yes
https://www.bitchute.com/video/lhuM6IJooFpB/,cuisine,they can't appreciate the taste of a tenderloin,Community (Indians),yes
https://www.bitchute.com/video/lhuM6IJooFpB/,cuisine,they don't understand the taste of tenderloins,Community (Indians),yes
https://www.bitchute.com/video/lhuM6IJooFpB/,cuisine,they don't understand the taste of tenderloin,Community (Indians),yes
https://www.bitchute.com/video/lhuM6IJooFpB/,cuisine,they don't like the taste of tenderloin,Community (Indians),yes
https://www.bitchute.com/video/lhuM6IJooFpB/,cuisine,this curry should go very well with Beef Wellington,Community (Indians),yes
https://www.bitchute.com/video/lhuM6IJooFpB/,cuisine,curry should go well with beef wellington,Community (Indians),yes
https://www.bitchute.com/video/lhuM6IJooFpB/,cuisine,this curry should go well with beef wellington,Community (Indians),yes
https://www.bitchute.com/video/lhuM6IJooFpB/,cuisine,this curry should go very well with beef wellington,Community (Indians),yes
https://www.bitchute.com/video/DrGKudbd9LU1/,news & politics,Now we know how china manintains government,Location (China),yes
https://www.bitchute.com/video/DrGKudbd9LU1/,news & politics,now we know how china manages the government,Location (China),yes
https://www.bitchute.com/video/DrGKudbd9LU1/,news & politics,"they can't handle their own country and want to interfere in georgia, the irony",Location (Pakistan),yes
https://www.bitchute.com/video/DrGKudbd9LU1/,news & politics,"they can't handle their own country and want to interfere in georgia, the irony",Location (Pakistan),yes
https://www.bitchute.com/video/DrGKudbd9LU1/,news & politics,truly the land of terrorists,Location (Pakistan),yes
https://www.bitchute.com/video/DrGKudbd9LU1/,news & politics,truly the land of terrorists,Location (Pakistan),yes
https://www.bitchute.com/video/DrGKudbd9LU1/,news & politics,atleast the ISI is better at something than RAW,Organisation (ISI),yes
https://www.bitchute.com/video/DrGKudbd9LU1/,news & politics,at least the isi is better at something than raw?,Organisation (ISI),yes
https://www.bitchute.com/video/kdsvw258hAL8/,news & politics,"They need to have decent weapons to do something, poor country",Location (Pakistan),yes
https://www.bitchute.com/video/kdsvw258hAL8/,news & politics,As if they could HAHAHA,Location (Pakistan),yes
https://www.bitchute.com/video/kdsvw258hAL8/,news & politics,As if they could HAHAHA,Location (Pakistan),yes
https://www.bitchute.com/video/t0U8l9cvtMB6/,news & politics,It's Ape Mating Season!,Community (Blacks),yes
https://www.bitchute.com/video/t0U8l9cvtMB6/,news & politics,it's the ape mating season,Community (Blacks),yes
https://www.bitchute.com/video/t0U8l9cvtMB6/,news & politics,Aren't they all?,Community (Blacks),yes
