url	comment	scores	type
https://www.youtube.com/watch?v=6aMRQGwiuo8	*Waw this is lovely ❤ I'm so happy ☺️ my life is totally changed. I've been earning $10,250 returns from my $4,000 Investment every 13 days*	[0.0016896489541977644, 0.006748860236257315, 0.9915614724159241]	NEWS & POLITICS
https://www.youtube.com/watch?v=6aMRQGwiuo8	Thank you President Biden, you got this...	[0.0025371930096298456, 0.04506232216954231, 0.9524004459381104]	NEWS & POLITICS
https://www.youtube.com/watch?v=6aMRQGwiuo8	I stand for the flag because through the blessing of God and acknowledgement of the biblical principles that this country was founded on we can as a country show the world the glory that awaits those who stand as beacons of light in a dark pagan world.	[0.002848514588549733, 0.08225918561220169, 0.9148922562599182]	NEWS & POLITICS
https://www.youtube.com/watch?v=6aMRQGwiuo8	2022 January crypto price now should be in every wise individuals list, in some weekly time you'll be ecstatic with the decision you made today: great job.	[0.0023972068447619677, 0.0313154011964798, 0.9662872552871704]	NEWS & POLITICS
https://www.youtube.com/watch?v=6aMRQGwiuo8	Let’s go Brandon 🇺🇸	[0.0019879057072103024, 0.10382472723722458, 0.894187331199646]	NEWS & POLITICS
https://www.youtube.com/watch?v=6aMRQGwiuo8	Despite the economic crisis, this is Still a good time to invest in Gold and crypto	[0.004622407257556915, 0.08734074234962463, 0.9080368280410767]	NEWS & POLITICS
https://www.youtube.com/watch?v=6aMRQGwiuo8	Thank you Brandon!	[0.0013930249260738492, 0.029690738767385483, 0.9689162373542786]	NEWS & POLITICS
https://www.youtube.com/watch?v=0FCLWh78QI0	God please bless the orphans	[0.012496125884354115, 0.18339326977729797, 0.8041105270385742]	NEWS & POLITICS
https://www.youtube.com/watch?v=0FCLWh78QI0	Remarkable family!!!	[0.003439513500779867, 0.041064709424972534, 0.9554958939552307]	NEWS & POLITICS
https://www.youtube.com/watch?v=T4Hp-cQ6MJM	My father went to the Vietnam War he came back pretty normal he did his family and he has 45 years married with my mom I don't know why men in this era are suffering from all this stuff but hopefully they'll get better, I just probably get to have a very strong father physically and mentally God bless him one of a kind, and very proud of him 💪	[0.022402754053473473, 0.10896573960781097, 0.8686315417289734]	NEWS & POLITICS
https://www.youtube.com/watch?v=dJ4ZS4GSX5I	This makes me appreciate my life I’m so ungrateful	[0.10114012658596039, 0.18119806051254272, 0.7176619172096252]	NEWS & POLITICS
https://www.youtube.com/watch?v=dJ4ZS4GSX5I	Lord Jesus help restore hope in these people lives	[0.009385833516716957, 0.24857470393180847, 0.7420393824577332]	NEWS & POLITICS
https://www.youtube.com/watch?v=dJ4ZS4GSX5I	Even though my country has it's bad moments, I'm grateful to live in America where we don't suffer the tragedy of tsunamis.	[0.11643580347299576, 0.32875561714172363, 0.5548085570335388]	NEWS & POLITICS
https://www.youtube.com/watch?v=dJ4ZS4GSX5I	OMG!! I want to help in any way possible!!!	[0.0029773875139653683, 0.07427503913640976, 0.9227476119995117]	NEWS & POLITICS
https://www.youtube.com/watch?v=vxLCWnqvD5s	Olympics will be fine	[0.012400133535265923, 0.2582034468650818, 0.729396402835846]	NEWS & POLITICS
https://www.youtube.com/watch?v=vxLCWnqvD5s	So considerate of covid to ease up just in time for the Olympics.	[0.0177809726446867, 0.3335573971271515, 0.6486616730690002]	NEWS & POLITICS
https://www.youtube.com/watch?v=5HTTgUMltww	they love sharks though.. they said they are friendly creatures..	[0.013837096281349659, 0.16670751571655273, 0.8194555044174194]	NEWS & POLITICS
